time,IR,pIR,IRS,pIRS,iIRS,Akt,pAkt,mTORC1,pmTORC1,mTORC2,pmTORC2,imTORC2,mTORC1_DEPTOR,mTORC2_DEPTOR,DEPTOR,pDEPTOR
0.0,50.0,0.0,100.0,0.0,0.0,100.0,0.0,250.0,0.0,200.0,0.0,0,0.0,0.0,350.0,0.0
3.6,48.8285,1.17155,99.86,0.139862,0.00013309999999999998,99.8862,0.11378800000000001,158.252,0.00173016,9.2952,0.037512300000000005,0,91.7463,190.667,67.5813,0.00504749
7.2,47.7821,2.21793,99.4731,0.5259739999999999,0.000926223,99.66799999999999,0.331952,133.884,0.00529441,5.07531,0.043362300000000006,0,116.11,194.88099999999997,39.0009,0.00751931
10.8,46.8427,3.15733,98.8832,1.1142100000000001,0.00260715,99.3761,0.623935,121.711,0.0100637,5.19356,0.056891,0,128.279,194.75,26.9624,0.00872897
14.4,45.9957,4.0042599999999995,98.1268,1.86765,0.00552431,98.9404,1.05958,114.56299999999999,0.017244,6.0576099999999995,0.0829125,0,135.42,193.859,20.7096,0.011276399999999999
18.0,45.2295,4.77051,97.2342,2.7555,0.0102596,98.3107,1.68928,109.946,0.0278252,7.09518,0.11840899999999999,0,140.026,192.78599999999997,17.172,0.015075700000000001
21.6,44.5341,5.46585,96.2303,3.7521400000000003,0.017531599999999998,97.4625,2.53753,106.743,0.042464800000000004,8.13322,0.160172,0,143.215,191.707,15.0591,0.019673799999999998
